Structure,ID,logP,Vx,MW,NegativeCharge,PositiveCharge,Flex,AromaticRings,OverallCharge,ERTLNotPSA,ERTLNoSPtPSA,HBA-lip,HBA-prof,HBD-lip,HBD-prof,HBD-cam,quatN,macrocyclic,ACamideO-nh-nh2,ACamideO-nh0,ASamideO-nh-nh2,ASamideO-nh0,Aamidine,AbasicNH0,AbasicNH1,CBr,CF3,CH0Aa,CH1Aa,CH2Aa,CH2hetero,CH2link,CH2long,CH3Aa,CH3hetero,CSSC,CamideNH0,Ester,HaloC,Michael-accept,NBA,NH1and2CdO,NO,NRB,OHCHCdO,Ocarbamate,Pamide,Pester,RCamideO-nh-nh2,RCamideO-nh0,RSR,RSamideO-nh-nh2,RSamideO-nh0,Ramidine,RbasicNH0,RbasicNH1,Samide-NH,SamideNH0,activatedCH,aldehydes,aliphOH-t6,allylic-oxyd-t10,amide-dicarbonyl,aminoethanol0,aminoethanol1,anycarbonyl,aromBr,aromCl,aromF,aromI,aromO,arylNHCO,basic-NH2,benzdiaz-t18,benzylicOH,branchedCnotRing,carbamate-and-thio,ch2-lipo-t9,dNO,di-widhraw-cx4,diazo-aryl,diazo,dione-1-4,easy-oxy-t13,ertl-33,ertl-35,ertl-37,ertl-39,ertl-41,ertl-43,est-lact-latm-carbm-t7,ether,halosp3sp3halo,hetero-halo-di-n-arom,hindred-phenol,hydroxyA,hydroxylation-t8,intraHbond5,intraHbond6,ketal,ketone-t14,ketones,lipovolume,nH0indole-like,nHindole-like,nc(do)n,nitro-O,nitro-no-ortho-t15,nitro,nonring-at,not-ring-diol,ohccn-t17,p-hetero-or-halo,p-withdraw-phenol,perfluoro,phenol-pyr2r,phenol,phenolic-tautomer,poly-sugars,polyOH,pyridine,pyridones,quinone-type,ring-join,ring5-nH0,ring5nH,ringOdouble,ringat,ringdiol,sp-carbons,sp2-carbons,spiroC,sulfonicacid,sulphates,sulphonamide-t5,t-16-1,t-16-2,t-16-3,tert-amine-t11,thio-acid,thio-keto,urea-thio,urea,xccn-t12,zw1,zw2,zw3,nC(sp2),nC(sp3),nOH,nCO,nOS,nX,nNprot,dCH2,ssCH2,tCH,dsCH,aaCH,sssCH,ddC,tsC,dssC,aasC,aaaC,ssssC,sNH3+,sNH2,ssNH2+,dNH,ssNH,aaNH,tN,sssNH+,dsN,aaN,sssN,ddsN,aasN,ssssN+,sOH,ssO,sF,sSiH3,ssSiH2,sssSiH,ssssSi,sPH2,ssPH,sssP,sssssP,dS,ssS,aaS,dssS,ddssS,sCl,sBr,sI,nNneutral,NnH,N4,NbN,fg5,CamideNH,BasicNH0R2AroRings,BasicNH02AroRings,BasicNH1R2AroRings,BasicNH12AroRings,PRX-time1,PRX-time-1,UB,HDN,HAN,PRX-time2,HAS,HAT,HAO,AliRingAttachment,C12,C4,C10,C6,C3,C9,C8,C1,C11,C2,C27,C26,N6,N7,N8,N14,N2,N13,H3,N1,BasicGroup,N10,HDT,AcidGroup,H4,H2,O7,O6,O3,O11,O5,O9,O10,S2,AroRingAttachment,C25,C13,N11,N12,HydrophobicGroup,H1a,C5,C21,C22,C23,C24,S3,ed70,ed20,ed50,ed60,ed40,ed80,ew70,ew60,ew80,ew75,ew30,ew50,ew40,ew20,ew10,ew100,f004,f007,f015,f147,f244,f245,f301,f390,f392,f393,f407,f413,f440,f441,f443,f444,f456,q017,q039,q040,q041,q137,q139,q155,q192,q257,q277,q300,q358,q453,q457,q458,q481,q483,q485,frg-8,frg-26,frg-54,Nn,AdrA1A_PCHEMBL_VALUE,AdrA1B_PCHEMBL_VALUE,AdrA1D_PCHEMBL_VALUE,AdrA2A_PCHEMBL_VALUE,AdrA2C_PCHEMBL_VALUE
CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2,CHEMBL295698,4.34,372.1,531.4,0,2,0.2,3,2,69.06,69.06,8,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,4,0,0,0,0,1,0,0,0,17,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,1,3,2,1,0,7,0,0,10,1,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,0,0,0,0,0,1,1,19,0,4,0,0,8,4,2,1,2,1,0,6,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,2,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,1,1,0,0,0,5,4,2,2,2,3,0,2,0,1,2,7,14,24,38,28,23,11,2,3,16,2,4,12,2,18,72,50,31,1,1,0,4,,,,5.13,
COc1ccccc1N2CCN(CCCNC(=O)c3ccc4ccccc4c3)CC2,CHEMBL1221544,3.61,322.6,403.5,0,2,0.2424,3,2,44.81,44.81,5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,7,0,0,1,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,8,0,1,1,0,1,0,7,0,0,11,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,3,3,0,0,0,1,18,1,3,0,0,5,2,2,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,2,1,2,2,1,1,0,8,8,12,17,11,10,9,3,3,17,2,2,5,2,16,30,21,14,0,1,0,3,,,,8.34,
COc1ccccc1N2CCN(CCCCCNC(=O)c3ccc4ccccc4c3)CC2,CHEMBL1221591,4.541,350.8,431.6,0,2,0.2857,3,2,44.81,44.81,5,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,6,9,2,0,1,0,0,0,0,0,16,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,10,0,1,1,0,1,0,9,0,0,11,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,3,3,0,0,0,1,18,1,3,0,0,5,2,2,0,0,0,0,7,0,0,3,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,2,1,1,0,10,8,12,17,11,10,11,3,3,17,2,2,4,2,16,30,21,14,0,1,0,3,,,,7.96,
Brc1ccc(Br)c(c1)N2CCN(CCN3C(=O)CC4(CCCC4)CC3=O)CC2,CHEMBL56899,3.386,318.5,513.3,0,2,0.129,1,2,43.86,43.86,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10,0,0,0,0,1,0,0,0,6,0,0,23,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,13,0,2,0,2,1,0,12,0,0,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,3,1,0,1,1,0,0,0,2,10,0,3,0,0,5,2,5,0,0,0,0,6,0,0,6,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1,0,2,4,2,2,0,0,0,0,0,0,2,2,4,8,12,16,16,6,10,2,8,3,2,9,3,14,23,16,10,0,1,0,3,,7.32,,,
Clc1ccccc1N2CCN(CCN3CCC4(CCCC4)CC3)CC2,CHEMBL293734,3.55,292.6,362,0,3,0.1429,1,3,9.72,9.72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,8,14,0,0,0,0,0,0,0,0,6,0,0,22,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,15,0,0,0,1,2,0,14,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,2,0,0,0,0,6,0,3,0,0,3,0,3,0,0,0,0,8,0,0,6,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,2,4,8,12,10,10,5,0,0,6,1,0,2,1,10,23,16,10,0,1,0,3,,7.08,,,
COc1ccccc1N2CCN(CCCNS(=O)(=O)c3ccc4ccccc4c3)CC2,CHEMBL497749,3.77,335.1,439.6,0,2,0.2353,3,2,61.88,70.26,6,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,7,0,0,1,0,0,0,0,0,16,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,8,0,0,2,0,1,0,7,0,0,11,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2,1,0,3,0,0,3,3,0,0,0,2,19,1,3,0,0,6,3,2,0,0,0,0,7,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,4,0,0,0,2,1,2,2,1,1,0,10,8,12,17,15,13,9,6,2,16,4,4,8,1,15,30,21,14,0,1,0,3,,,,8.33,
Clc1ccc(Cl)c(c1)N2CCN(CCN3C(=O)CC4(CCCCC4)CC3=O)CC2,CHEMBL293111,3.538,322.1,438.4,0,2,0.125,1,2,43.86,43.86,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,11,2,0,0,0,1,0,0,0,6,0,0,24,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,23,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,14,0,2,0,2,1,0,13,0,0,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,1,0,1,1,0,0,0,2,10,0,3,0,0,5,2,5,0,0,0,0,6,0,0,7,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,6,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,2,1,2,4,2,2,0,0,0,0,0,0,2,2,4,8,12,16,16,6,10,2,8,3,2,9,3,14,23,16,10,0,1,0,3,,7.28,,,
CN1CCN2[C@H]3CCN(CCCc4noc5cc(F)ccc45)C[C@H]3c6cccc1c26,CHEMBL3233412,4.151,301.3,406.5,0,4,0.1143,3,4,35.75,35.75,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,7,0,0,1,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13,11,0,0,1,1,1,0,8,0,0,6,2,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,2,2,0,0,0,0,15,0,4,0,0,5,1,3,0,1,1,0,6,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,1,0,2,1,1,0,0,2,3,1,2,1,3,14,28,45,23,17,6,0,0,13,4,1,11,3,20,73,53,36,0,2,0,4,,7.18,,,
CN(CCN(C)c1cc(Cl)ccc1Cl)CCN2C(=O)CC3(CCCC3)CC2=O,CHEMBL55790,3.399,318.8,426.4,0,2,0.2333,1,2,43.86,43.86,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,4,8,0,0,2,0,1,0,0,0,6,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,6,13,0,2,0,2,1,0,10,0,0,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,1,0,0,1,0,0,0,2,10,0,3,0,0,5,2,3,0,0,0,0,6,0,0,6,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2,1,0,2,4,2,2,6,0,2,2,1,1,2,10,4,4,4,13,12,11,8,2,8,3,2,8,3,10,4,4,4,0,1,0,3,,6.04,,,
COc1ccc(cc1N2CCNCC2)S(=O)(=O)N3CCc4ccc(I)cc34,CHEMBL414628,2.461,299.1,499.4,0,2,0.1333,2,2,61.88,70.26,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,6,0,0,1,0,0,0,0,0,12,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,2,1,1,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,2,1,0,3,0,0,0,0,2,2,0,2,15,1,3,0,0,6,3,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,2,1,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,1,1,0,0,0,2,1,1,2,1,2,2,1,1,1,6,14,23,32,28,22,6,14,2,12,5,4,18,2,16,41,35,27,0,1,0,3,,6,,,
COc1ccc(NS(=O)(=O)c2sc3ccc(Cl)cc3c2C)cc1N4CCN5CCCCC5C4,CHEMBL29410,5.308,357.1,506.1,0,2,0.1351,3,2,61.88,98.5,6,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,6,0,1,1,0,0,0,0,0,15,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,10,0,0,3,1,1,0,7,0,0,6,1,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,1,1,3,0,0,2,2,0,0,0,2,18,1,3,0,1,7,3,3,0,1,0,0,5,0,1,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,1,2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,3,1,1,1,3,2,4,2,1,1,2,1,5,5,3,3,1,7,10,14,22,30,23,8,12,2,14,6,5,24,3,22,38,27,17,0,1,0,3,,5.7,,,
COc1c(OCCF)cccc1C(O)C2CCN(CCc3ccc(C)cc3)CC2,CHEMBL476839,4.288,320,401.5,0,1,0.2903,2,1,41.93,41.93,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,8,0,1,1,0,0,0,1,0,12,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,12,1,0,2,1,1,0,8,0,0,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,12,0,1,0,0,4,3,2,0,1,1,0,6,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,3,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,1,0,0,0,0,4,2,4,4,3,3,0,9,10,10,14,11,8,13,0,5,12,0,3,6,0,14,28,18,12,1,0,0,1,,,,,6.85
C[C@@H](CO)NC(=O)[C@H]1CN(C)[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34,CHEMBL119443,1.634,251,325.4,0,1,0.1481,2,1,68.36,68.36,5,2,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,16,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,8,1,1,0,0,1,0,3,0,1,4,3,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,1,1,1,0,0,0,1,13,2,2,0,0,4,2,2,0,2,1,1,3,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,3,0,0,1,0,0,0,0,0,1,0,0,4,0,0,1,0,0,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0,0,3,0,2,0,8,4,14,33,13,8,7,11,2,11,4,2,11,2,14,60,37,21,0,0,0,2,,,,6.2,
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4cccc5ccccc45)c6ccccc26,CHEMBL213834,4.573,366.4,496,0,2,0.09756,4,2,51.18,51.18,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,22,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,5,0,1,0,1,1,0,4,0,0,14,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,5,0,1,4,4,0,0,0,1,26,1,4,0,0,5,1,4,0,0,0,0,5,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,2,0,0,2,1,1,0,0,0,2,0,2,1,4,12,21,30,29,19,6,16,1,24,6,1,17,7,25,51,35,25,0,0,0,5,,,,6.06,
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3N(NC(=O)c4c(C)cccc4C)c5ccccc25,CHEMBL213336,4.293,357.7,474,0,2,0.1053,3,2,51.18,51.18,6,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,1,0,0,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,19,7,0,1,0,1,1,0,4,0,0,10,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,5,0,1,3,3,0,0,0,1,22,1,4,0,0,5,1,4,0,0,0,0,5,0,2,0,0,0,0,0,1,2,1,0,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,2,4,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,1,0,0,2,1,1,0,0,4,6,4,6,1,4,12,20,28,29,19,8,14,1,20,6,1,16,7,23,49,33,24,0,0,0,5,,,,6.1,
Clc1ccc(cc1)N2CCN(CCCCC3C(=O)Nc4ccccc34)CC2,CHEMBL260994,4.155,295.4,383.9,0,2,0.2,2,2,35.58,35.58,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,0,0,12,0,0,17,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,9,0,1,0,1,1,0,8,0,0,8,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,3,0,1,2,2,0,0,0,1,14,1,3,0,0,4,1,4,0,0,0,0,5,0,0,3,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,1,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,1,4,10,19,26,12,13,7,5,1,13,3,1,9,3,16,39,31,22,1,1,0,3,7.38,,,,
