SMILES,pKa_accepted,SMARTS pKa,SPARC,MARVIN,ACD,ADME Boxes,Consensus
O(CC(O)=O)CC,3.62,3.3,3.75,4.04,3.55,3.8,3.616666667
O(CC)c1cc(OCC)cc(O)c1,9.37,9.3575001,9.42,8.85,9.29,9,9.355833367
O(CC)c1ccc([NH3+])cc1,5.25,5.0166669,4.99,5.13,5.26,5.4,5.263333333
O(CC1[NH+]2CCC(C1)CC2)C(=O)C,9.88,9.5750008,9.01,8.92,9.88,8.4,8.776666667
O(CCC(C)C)c1ccccc1\C=C\C(O)=O,4.85,4.6149998,4.46,3.55,3.89,4.2,4.424999933
O(CCC)c1ccccc1C(O)=O,4.24,3.9952776,3.97,3.72,3.47,3.8,3.83
O(CC[NH2+]c1ccc(cc1)C)C,4.64,4.6199999,4.57,4.66,4.93,4.3,4.616666633
O(Cc1ccc(cc1)C(O)=O)C,4.18,3.96,4.06,4.06,4.19,4.1,4.026666667
O(Cc1ccccc1)c1ccc(cc1)C(O)=O,4.44,4.4699998,4.31,4.36,4.46,4.4,4.443333267
O(c1ccccc1)c1ccc[nH+]c1,4.24,4.2666664,3.27,4.61,3.96,3.9,3.812222133
O1C(C)=C(C(=O)c2ccccc2)C(O)=CC1=O,3.83,3.9400001,6.19,4.93,4.2,3.8,3.980000033
O1C=C(C=CC1=O)C(O)=O,3.26,3.1866667,3.88,2.94,2.8,3.3,3.142222233
O1CC[NH+](CC1)C(CC(c1ccccc1)c1ccccc1)C,6.9,7.7466669,7.02,7.93,7.95,7.4,7.76
O1Cc2[nH+]c(COCCOCCOCCOCCOCCOCCOCC1)ccc2,3.7,4.0757141,4.74,2.46,3.12,5.1,4.638571367
O1Cc2cccc(COCCOCCOCCOCCOCCOCC1)c2C(O)=O,4.06,4.3337498,3.61,3.35,3.57,4.1,3.51
O1c2c(cc3CCCCc3c2)C(=O)C=C1C(O)=O,1.75,1.8099999,3.39,2.59,2.44,1.6,2.279999967
O=C(C)c1ccccc1[NH3+],2.31,2.3025,2.18,2.56,2.31,2.4,2.296666667
O=C(\C=C(/O)\C)CC(C)C,9.19,8.79,7.86,8.89,8.34,9.3,8.993333333
O=C1[C@@]2(CC[C@H](C1C(O)=O)C2(C)C)C,3.76,3.7735567,5.01,4.38,3.57,3.7,3.681185567
O=[N+]([O-])c1cc([N+](=O)[O-])ccc1C[NH3+],7.7,4.6735001,7.53,8.67,7.57,9,6.5911667
OC(=O)C,4.76,4.2275,4.77,4.54,4.79,4.9,4.82
OC(=O)C#C,1.89,1.9096251,4.09,1.99,2,2.6,1.9665417
OC(=O)C#CCC,2.6,2.5699999,4.49,2.8,2.7,2.6,2.6233333
OC(=O)C(=O)CC(=O)C,2.59,2.4550002,3.16,2.86,2.19,2.2,2.281666733
OC(=O)C(=O)c1cc(C)c(cc1)C,1.36,1.35,3.91,3.06,2.31,1.2,1.62
OC(=O)C(C)C1C[C@@H](CCC1)C,4.59,4.4949999,4.72,5.01,4.72,4.9,4.78
OC(=O)C(C)c1ccc(cc1)CC(C)C,4.36,4.4616666,4.53,4.85,4.41,4.3,4.390555533
OC(=O)C=C=Cc1ccccc1,3.7,3.6346667,4.09,4.23,3.48,3.2,3.438222233
OC(=O)C=Cc1cc(ccc1)C,4.44,4.5216665,4.18,4.84,3.92,4.2,4.3005555
OC(=O)CC(=O)c1ccc(cc1)-c1ccccc1,4.43,4.3400002,4.85,4.13,2.93,3.2,4.440000067
OC(=O)CC(C)C,4.78,4.8388,4.75,5.01,4.78,4.9,4.7896
OC(=O)CCC(C)(C)C,4.81,4.8388,4.75,5.15,4.79,4.9,4.792933333
OC(=O)CCCC,4.84,4.8537502,4.75,5.01,4.78,4.9,4.8445834
OC(=O)CCCC(C)(C)C,4.88,4.7709999,4.75,5.19,4.79,4.9,4.8203333
OC(=O)CCCCCCC[n+]1ccccc1,4.5,4.5500002,4.69,4.01,4.77,4.9,4.786666667
OC(=O)CCc1ccc([N+](=O)[O-])cc1,4.51,3.9521668,4.37,3.32,4.48,4.6,4.267388933
OC(=O)CCc1ccccc1C,4.66,4.6830001,4.55,4.85,4.69,4.6,4.6576667
OC(=O)C[N+](C)(C)C,1.99,1.8275,2.32,2.26,1.8,1.9,1.8425
OC(=O)C[N+](CCCCCCCCCCCC)(C)C,1.82,1.8833333,2.32,2.82,1.8,1.9,1.8611111
OC(=O)[C@H]1C[C@@H]1c1cc([N+](=O)[O-])ccc1,4.41,4.4299998,4.4,3.26,4.8,4.6,4.4766666
OC(=O)[C@H]1C[C@@H]1c1ccc(cc1)C,4.6,4.6533332,4.67,4.66,5.1,4.6,4.661111067
OC(=O)\C=C/C,4.68,4.5580001,4.31,4.9,4.8,4.6,4.6526667
OC(=O)c1[nH]ccc1,4.45,4.4514999,4.6,3.62,4.46,4.6,4.553333333
OC(=O)c1c2c(cc(C)c1C)cccc2,3.33,3.6767499,4.07,3.52,3.44,3.5,3.5655833
OC(=O)c1c2c(cc3c1cccc3)cccc2,3.65,3.8366666,4.16,3.19,3.68,3.6,3.705555533
OC(=O)c1cc(ccc1)C1CC1,4.28,4.1500001,4.1,4.06,4.27,4.1,4.086666667
OC(=O)c1ccc(cc1)C(=O)C,3.71,4.0316668,3.88,3.78,3.7,3.8,3.8705556
